id,header_review,ulasan,label
657,Bagus,Walaupun murah tapi bagus dan sangat cepat respon kirim nya,1
658,Celana,"Packing Baik,sesuai pesanan, cepat sampai",1
659,Juaraaa,juaraaa,1
660,Biasa Aja.. Jaitan Berantakan.. Tapi Sesuai Harga Lah..,Biasa saja.. jaitan ga rapih.. sesuai harga lah..,1
661,Bagus,Barangya dh sampe...packing rapi maksihh,1
662,Kecewa!,pelapaknya blg sdh dikirim ternyata brg dikirim 2 hari setelahnya,0
663,Barang Sesuai Pesanan,"Barang sesuai pesanan, Good Seller",1
664,Kemasan Rapi,kemasan rapi,1
665,Cepat!,cepat!,1
666,Affordable Price,thankyou seller thankyou juga flash sale BL,1
667,Oke,Sudah diterima dengan cepat dan barang bagus,1
668,Kecewa,Gmana ceritanya mo pake ukuran segini. Minta size 6 dan 7 datangnya apa????????????????,0
669,Kualitas Sesuai Harga Lah.. Semoga Awet Aja,kualitas sesuai harga lah.. semoga awet aja,1
670,Rk134  (Y),"bagus banget,,,,N pengiriman cepat,, ",1
671,Barangnya Mana???? Konyol!!!!,Ngasih ke siapa? Soalnya dari kemaren saya di kantor. Mohon konfirmasinya segera. Trims,0
672,Cpt Smpai Brgnya,cpt smpai brgnya,1
673,Jauh Dari Yang Dibayangkan,Karakter tas tak sperti di gambar yg terlihat berbobot tapi nyatanya kempes,1
674,Bagus Barangnya.,Sesuai sama pesanan. Pengiriman normal.,1
675,Mesenny Kapan Nyampenya Kapan,"Pelayanannya lamaaa, nyampenya lama banget padahal masih jabodetabek. Bukan lama dikurir tapi di toko",1
676,Imut Skl.,Sesuai pesanan. Imut n tipis. Semoga awet n tdk mudah putus.,1
677,Bagus,Barangnya cepat sampe sesuai gambar tapi sayang kegedean,1
678,Smartwatch A1,"Alhamdulillah,kado buat anak pake grabpay sudah sampai dengan baik serta berfungsi normal.Recomended seller Agan ini",1
679,Barang Sudah Sampai,Baranggg sudahhhh sampaiiiiiiiiiiii,1
680,Sangat Puas,sangat puas,1
681,Barang Sesuai.. Terima Kasih,Alhamdulillah barang tidak mengecewakan,1
682,".

Namun Akan Lebih Baik Apabila ......", .,1
683,Bgusss Bgttt,bgusss bgttt,1
684,Agak Sedikit Kecewa..,Saya kira lapisan bawahnya kaya seprti seputu biasa.. ternyata lapisan bawa.. sangat tipis dan sperti ban,0
685,Bagus,"Barang sesuai pesanan baik pula, fast respon",1
686,Bagus,Barang wajar sesui harga gak berlebihan,1
687,Kereen,Cocok lah buat hang out tas nyaa ...kereen jg,1
688,Trimakasih Barang Baru Sampai,trimakasih barang baru sampai,1
689,Sesuai Pesanan....,sesuai pesanan....,1
690,Mantap... Di Bonusin Lagi. Tq Ya Bos Ku,mantap... di bonusin lagi. tq ya bos ku,1
691,Teliti & Baca Sebelum Membeli,"Letak kantong agak rendah, tapi warna seperti digambar. Jeansnya ternyata agak hipster, hanya kantong hamil yg memang sepanjang perut. Buat yg hamil besar sudah tdk bisa dipakai, krn memang lingkar paha hanya sampai 46cm seperti yg ditulis penjual.",1
692,"Sesuai Pesanan & Berfungsi Dgn Baik, Thanks Gan","sesuai pesanan & berfungsi dgn baik, thanks gan",1
693,Recommended Seller,"Barang Sesuai pesanan ,cepat sampai , thanks Bukalapak , thanks seller",1
694,Respon Chat Sangat Minim,"Order kmaren siang pakai grabinstant,di chat GK balas2 dr kmaren,",1
695,Harga Oke,"Harga oke bgt karena dpt promo flashdeal, tp banyak yg remuk chocolatosnya, overall oke, thankyou",1
696,Jozz,jozz gandos top markotop pkoeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,1
697,Sesuai Harga,"Lumayanlah utk tas dg harga segitu, semoga bisa awet",1
698,....Cakeppp... Manteb....,Terima kaseh... Susah diterima barangnya.... Sukseskan lapaknya....,1
699,Barang Cepet Sampai,Packing bagusbagus terimaksihterimaksih sukses,1
700,Keren,"Barang sesuai iklan, packing rapih, cepat sampai dan kualitas barang baik",1
701,Sesuai Estimasi....Terimakasih,"Bagus, barang cepat sampai, respon penjual baik..Kapan2 mau ordel lg ya.",1
702,Bagus,Barangnya bagus packing baik berpungsi terima kasih,1
703,Kecewa,Barang tidak sesuai pesanan ..sangat jelek ...bahannya juga sangat jelek,0
704,"Sesuai Ukuran 

Packing Tidak Rapih",sesuai ukuran ,0
705,Bagus,sdh sampai blm dicoba sih tp kemasan rapih mudah2an ga gampang rusak,1
706,Tentang Barang !!!,"Barangnya sih bagus, suaranya TIDAK jelek, bassnya enak, tapi harganya terlalu murah saya ga suka karena saya orang kaya.",0
707,Barang Sesuai Pesanan Da Cepat Sampai,"Good, barang bagus dan suaranya jernih keren",1
708,Harus Lebih Detail Lagi,Alat cukurnya udah sesuai gambar namun gak ada keterangan bahwa alas untuk cukurnya terbuat dari plastik viber gth... Yg biasanya terbuat dari besi,1
709,Barang Lumayan,Barang lumayan,1
710,Bagussssss......,bagussssss......,1
711,Barang Bagus,"barang bagus, hanya saja, ukuran kurang sesuai dengan ukuran sepatu yg dijual di toko.",1
712,Mantap...Ada Resep Meracik Umpan..,mantap...ada resep meracik umpan..,1
713,Kl Dr Luar Maah Seperti Original,sesuai deskripsi dan foto. lumayan lah.. malasih,1
714,Barang Sesuai Dengan Deskripsi,barang sesuai dengan deskripsi,1
715,Keren,Sesuai deskrifsi....cepat sampai,1
716,Good Quality,good quality,1
717,Sesuai,Barangnya sesuai gambar bagus cuman ukuran 36 masih kebesaran,1
718,Bagus,kualitas bagus sesuai ekspektasi hanya saja nomer nya agak kegedean aj.....4 all good lah,1
719,"Barang Bagus, Sampai Dengan Selamat...","Barang bagus, sampai dengan selamat...",1
720,"Kenapa Hanya Dpt 1, Judulnya& Gambar Nya Twin Pack","Kenapa hanya dpt 1, judulnya& gambarnya twin pack",0
721,Barang Rekondisi,"barang rekondisi,.gak awet (baterai speakernya itu baterai nokia bekas)",0
722,Pengiriman Nya Aja Aagak Terlambat..,pengiriman nya aja aagak terlambat..,1
723,Lama Nyampenya..Barang Ga Sesuai Dgn Pesanan,lama nyampenya..barang ga sesuai dgn pesanan,0
724,Pengiriman Cepat,pengiriman cepat. pelayanan bagus. packing bagus. ,1
725,Mudah2an Awet,mudah2an awet,1
726,"Barang Ga Sesuai Warna

Namun Akan Lebih Baik Apabila Kacau",barang ga sesuai warna,0
727,Very Good,"Paket cepat sampai, packing rapi, dan seller ramah",1
728,Bagus,"Baju bagus, tapi ukurannya lebih kecil.. Saya pesen M tp seller kirim L dan ternyata muat",1
729,Barang Tidak Sesuai,"Pesan warnah putih & abu ""... muncul warna pink sama gold padahal pesanan orng... kecewa",0
730,Barang Sudah Sampai,barang sudah sampai,1
731,Good Bgt,Bisa di jadikan langganan recommended,1
732,Pipa Asap,Saya suka packing baik tapi cepat sampai tapi tida sesuai warna,1
733,Excellent,Excellent,1
734,Barang Cepat Sampai..,Barang cepat sampai.. ,1
735,Barang Baguss,barang baguss,1
736,Kerennnn,Mannnnnntttaappppppppppppppppppppppppppppppppppppppppppppppp,1
737,Barang Sesuai Pesanan,"barang sesuai deskripsi, bahan baik dan nyaman",1
738,Kaos Tshirt Wanita,"Barang sudah di terima sesuai pesanan , pas di badan",1
739,Thanks,makasih untuk flash deal nya     .,1
740,Cincin Siam Bangkok,cincinya sesuai gambar dan bagus semoga awet,1
741,Mantap,mantap,1
742,"Kualitas Terjamin, Buku Panduan Ada, Barang Mulus Dan Rapih","kualitas terjamin, buku panduan ada, barang mulus dan rapih",1
743,Product Sesuai Dengan Pesanan... Terima Kasih^^,product sesuai dengan pesanan... terima kasih^^,1
744,Barang Nggk Sesuai Pesanan,"Pesan warna putih malah dikirim warna abu abu >:(,Bahan jelek mudah kusut dan susah di setrika,tangan kekecilan",0
745,Ear Cleaner Vacum Gak Berfungsi,Alat penyedot telinganya gak mau nyedot,0
746,Bagus Dan Baik,bagus dan baik,1
747,Sadap Suara..,Cepet sampainya....barang sesuai pesanan,1
748,Respon Cepat Barang Sesuai Pesanan,Packing baik barang sesuai pesanan sampai cepat,1
749,Sesuaii,"Baju sesuai dengan pesanan,",1
750,Sabun Kopi,"Yaa ampun, mini bgt trnyta, xixixi....",1
751,Sesuai Pesanam,sesuai pesanam,1
752,Samartwatchnya Bagus,samartwatchnya bagus. berfungsi dengan baik. semoga awet samapai lama. terima kasih,1
753,Ac Murah Meriah,"Bisa menyejukan ruangan,sperti ac beneran",1
754,Bagus Dan Berfungsi Dengan Baik,Bagus dan berfungsi dengan baik,1
755,"Agak Tipis, Tapi Ok Lah. Top Seller","agak tipis, tapi ok lah. top seller",1
756,Barang Sesuai Foto,"Barang bagus  Sesuai dengan harga,",1
757,Trigger,"Barang sepat diterima,, pdhl pesan hari Sabtu Senin siang sudah sampai diterima . .",1
758,Pas Sesuai Pesanan,pas sesuai pesanan,1
759,Memuaskan,"Cukup memuaskan,barang sesuai dengan pesanan",1
760,Kabel Kuat Sekali,Kabelnya kaku sekali dimana ini sangat bagus dan kuat untuk menahan berat dari handphone itu sendiri,1
761,Keren Bagus,keren bagus,1
762,Barang Maaanntaafff,Kualitas barang juara dengan harga segitu,1
763,Keereenn,Semoga awet cuma sayang baru datang baterai dah Soak....,1
764,Lumayan Ok,Lumayan ok,1
765,Remote Tv Polytron,"Barang sesuai pesanan, sangat puas tombol aktif sesuai dgn yg ada...",1
766,Bagus,Barangnya bagus dan berfungsi dengan baik.,1
767,Good,Pelayanan cepat dan memuaskan.,1
768,Keren!,"barang sesuai gambar tp knp dkirimin yg warna dalemannya putih sist,saya kira dkirimin yg warnanya merah",1
769,Cukup Bagus,Cukup bagus,1
770,Barang Terlihat Bagus,Barang terlihat bagus. Mungkin las las an nya perlu lebih kuat lg.,1
771,Biasa Saja,kualitas sesuai harga,1
772,Ok,ok,1
773,Tripod,Kualitas bagus..baik dan..cukup memuaskan..baik tidak ada yg cacat siipp dah....,1
774,Speakernya Tidak Berfungsi Untul Menghubungkan Ke Handphone!,Ingin diganti dengan yg berfungsi,0
775,Harga Murah,"Harga produk murah dari flash sale. Untuk kwalitas, saya kurang paham. Botol kemasan tdk seperi gambar, tutup datat biasa. Aroma seperti ada mentol dan akasia, dan cepat hilang. Encer seperti minyak kayu putih.",1
776,Pcking Baik,"Barang cepat sampai dan packing baik, sdhingga barang dalam kondisi baik",1
777,Gg,Mantap ppppllppppppplpppppppppllppppppplpppppppppppp,1
778,Top,Recomended seller....... Cpet sampai,1
779,Jeleak,Ga jalan sama sekali dan penjualnya ga mau d komplain,0
780,Sesuai Gambar... Mudah2xan Awet,sesuai gambar... mudah2xan awet,1
781,Ringan & Enak Di Pakai,ringan & enak di pakai,1
782,Resletingnya Kuat,saya sering bermasalah dengan resleting kantong celana. yg ini sepertinya bakal awet,1
783,Oke,Pengirimanya lambat saya gak puas,1
784,Warna Gag Sesuai Permintaan,Packing dan Barang bagus. Cuma gag sesuai ama permintaan warnanya...,1
785,"Barang Sesuai, Packing Baik, Good...","barang sesuai, packing baik, good...",1
786,Sajadah,"produk tidak ada mereknya, menyesuaikan sengan harga",1
787,Lumayan Bahan Nya,lumayan bahan nya,1
788,Murah,Sesuai permintaan dan warna serasi,1
789,Barang Sesuai Oesanan,oke lah sesuai picrt...datsng ceepet smpai,1
790,Good,"Sejauh ini ga ada masalah, charge lancar. Tp blm coba untuk connect ke head unit mobil.",1
791,Sesuai Pesanan,Barang sesuai pesanan.... Murah karena flash sale . Tq Pondan dan Bukalapak,1
792,Barang Cacat,"2x ganti sama gak ada yg bagus, beli d toko lain malah normal, penjual tdk responsif, jgn beli disini.",0
793,Keren Gan,"Keren gan,barang sesuai pesanan dan kualitas gambar oke...thanks",1
794,Mantap,"Barang sesuai dengan pesanan,puas,pi pengiriman lama.",1
795,Keren,Thanks pelayanan bagus quick response,1
796,Barang Tidak Sesuai Dengan Pesanan,barang tidak sesuai dengan pesanan,1
797,Lumayan,Lamaaa nyampeeeeeee ,0
798,Barang Ok,Barang OK ,1
799,Bagus Barang Sesuai Pesanan Dan Normalsaya Puas,bagus barang sesuai pesanan dan normalsaya puas...recomendet seller,1
800,Barang Bagus,Barang bagus,1
801,Biasa,"Packing biasa, kabel tidak compatibel dengan chargernya. Lampu indikator juga kadang hidup kadang mati",1
802,Kualitas Suara Teleponnya Bagus,"Kualitas suara teleponnya bagus, talinya menarik",1
803,Bagus Barangnya Syg Nya Penjual Nya Rada Kurang Responsive,"Td nya smpt agak was was krn pngiriman JT barang blm di sampaikan ke kostumer laporan nya sdh mnyatakan di terima.  Akhirnya tmn sy dtg lgsg ke kantor J&T dan trnyata brg mash di sana. Tp barang bgs, tmn saya psn dua dan puas.  Sya hnya krg puas dgn respon pelapak nya.  Smg bs di tingkatkan lgi pelayanan nya.  ",1
804,Joos,Pesanan sudah sampai dan sesuai goood,1
805,"Alhamdulillah Sesuai Pesanan, Barang Cepat Sampe","Alhamdulillah sesuai pesanan, barang cepat sampe",1
806,Sesuai Harga,Lingkar pinggang belakang ada karetnya bisa melar.,1
807,Bagus,sesuai barngnya,1
808,"Cepat Drop  Baru Pake Sekali,, Itu Pun Isi Setengah","Cepat drop  baru pake sekali,, itu pun isi setengah ",0
809,Terima Barang,Barang sesuai pesanan.packing rapi.,1
810,Jznsidusbsisnssisbsu,Ushsbsusnsbsabas7aujqkbeusmwsj,1
811,"Packingok

Tetapi Akan Lebih Baik Jika Warna Sesuai Pesanan",packingok,1
812,Bagus,Asoy bamget nih barang dan yahud tak ada yang lain selain barang ini. Mantap,1
813,Lmyan,Lmyan Puas brng bgus Rambut mulai tebal,1
814,Ciamik,ciamik ,1
815,Barang Tidak Sesuai Pesanan !!,Pesan spot cleaner komedo yg dikirim kan kenapa shampo metal !!,0
816,Bagus,"Barang sesuai pesanan, respon pelapak baik/cepat, Peking rapi dan cepat sampai",1
817,Bahan Sama Harga Ga Sesuai Yah,Hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm.mm......,1
818,Mantep Bahan Metal,mantep bahan metal. ga keliatan barang murah. kualitas ok,1
819,Bagussss,"Barang bagus murah meriah cuma mau pesan biar couple tapi beda warna sedikit sih okelah gpp, lain kali musti info dulu ke konsumen klu berbeda...",1
820,Kabel Hdmi,"Mantap dan puas, barang berfungsi dengan baik",1
821,Nice,"Barang sesuai pesanan, response ceapat",1
822,Sesuai Dg Pesanan,sesuai dg pesanan,1
823,Kekecilan,Barang bagus cuman ukuran kurang besar jd kekecilan,0
824,"Barang Sesuai Pesanan, Trims...","barang sesuai pesanan, trims...",1
825,"Mantap

Good",Mantap,1
826,Bahan Sepatu Tebal Sesuai Harga..,Sesuai pesanan yg datang n sesuai yg di pesan...pelapak pun cepat respon.....,1
827,Kualitas Bordir Sangat2 Mengecewakan.,kualitas bordir sangat2 mengecewakan. ,0
828,Enak,"Tinggal ditambahin sayuran aja, sudah pas enak rasanya. Terima kasih",1
829,Lumayan Dahh Dengan Harga Segini,Lumayan dahh dengan harga segitu mahh,1
830,Tidak Bisa Konfirmasi Ukuran,"Membeli saat flash sale, karena buru2 jd lupa memasukkan ukuran ring, ktika dikonfirmasi pihak lapak tdk mau memproses dg alasan byk orderan yg msk pd saat flash sale jg, shg cincin yg datang SANGAT KECIL skl, mgkn ukuran terkecil, tdk tpakai sm skl. Saran : Bila mmg tdk bsa, shrusny pelapak mberikn informasi di lapak penjual, shg tdk mgecewakan pembeli.",0
831,Bahan Ny Alus,bahan ny alus,1
832,Mantap,"Suka, sudah sesuai mantap bagus banget",1
833,Barang Bagus,barang bagus,1
834,Mantaappp,"Sukses buat lapaknya nyA,.....................",1
835,Barang  Udah Saya Trima....,Mantap ini emang cuma buat rambut kumis dan jenggot aja ya,1
836,Kondisi Tidak Bagus,"Barang celana yg di terima kondisi seperti sudah bekas. Resletingnya rusak.  Lubang kancing pinggang sudah di lubang tidak seperti celana baru, tidak ada label baru,  packing kurang baik",0
837,Bgusss........,mantappppppp........................,1
838,Tas Slempang Pria...,"Bagus... Sesuai sma harganya... Tpi responnya lama... Setiap saya chat, jawabannya cma iya kk siap...",1
839,Bagus Sesaui Pesenan.,Bagus sesaui pesenan.,1
840,Respon Seller Cepat Tanggap,"respon seller cepat tanggap, pengiriman cepat, sesuai dengan pesanan. ",1
841,Sendal Nya Kaya Sendal Rusak,"Lem nya sudah mau lepas dan ukuran nya kecil , saya biasa pake nomor 39 tpi ini SDH saya pesan nomor 40 tidak muat sempit",0
842,Sip,"Barang sesuai pesanan, dan cepat sampai.peetahankan",1
843,Sesuai Pesanan,Barang nya bagus. Lucu. Cepat sampai,1
844,Sampai Saat Ini Blm Memberikan Efek Apa Apa..,sampai saat ini blm memberikan efek apa-apa..,0
845,Sesuai Gmbar,sesuai gmbar,1
846,Manatap..,Kualitas sesuai pesanan dan harga...tinggal di coba,1
847,Jelek,susah di bukanya ,0
848,Tali Skipping,Biasanya dilengkapi dengan spring sebagai pelindung biar gk mudah putus. Tapi ini engga,1
849,Packing Baik!,Fast respon! Tapi kzl sama tiki reg nya! Waktu yg di pilih 2 hari nyampenya jadi 6 hari!! Puas sama brgnya,1
850,Cukup,"Sesuai dengan deskripsi produk dan cukuplah bagus meskipun warna yang dikirimkan kurang sesuai, thanks ya.",1
851,Lumayan,Ada goresan sedikit di bagian bawah ...,1
852,Tetep Hidup Walaupun 2 Hari Pengiriman,"terima kasih gan, bibitnya anggurnya bagus & banyak akarnya, tetep hidup walaupun 2 hari dijalan, mantap",1
853,Bagus,Bahan bagus,1
854,Kaualitas Baguss,kaualitas baguss,1
855,Hmmm,Barang bagus. Jamnya idup.. tapi sayang warna nya ga sesuai pesanan.. padahal udah di chat juga jangan sampe salah,1
856,Sesuai Pesanan,sesuai pesanan,1
857,Tdk Sesuai Pesanan. Respon Lambat. Pengiriman Lambat.,Tdk sesuai pesanan. Respon lambat. Pengiriman lambat.,0
858,Keren Mantappp Ga Nyesel Dah Pokonya Recomended Seller,"Kualitas bagus mantaapp sol mantap 2""nya di sol kuat yg mau punya sepatu ini silahkan di order ga bakal nyesel dah..",1
859,Ok,Krenn jga...............................,1
860,Keren,Cepat dan jujur ... semoga sukss terus,1
861,Oke,"Barang cepet, audio cempreng ya kurang bagus euy",1
862,Biasa Aja.................,"Biasa aja, dibwh ekspektasi.....sy udh beli bnyk brng dr flashdeal ini yg paling dibwh ekspektasi....",1
863,Bl Thank U....,Sippp....tqyu...ok bgt recom seler,1
864,Cepat Sampai,"Respon cepat,Packing rapi,barang sesuai",1
865,Bagus,"Kualitas Barang sesuai harga, respon penjual cepat, agak lama karena barang promo.",1
866,Memang Harga Itu Menentukan Kualitas Ya,memang harga itu menentukan kualitas ya,1
867,Marker Original,"barang sesuai pesanan, packing rapi",1
868,Udah Di Pake Dan Hasil Nya Sangat Memuaskan,udah di Pake dan hasil nya sangat memuaskan,1
869,Video Tdk Ada Gambar Cuma Suara,video tdk ada gambar cuma suara,0
870,Oke,"Sesuaipesanan harga terjangkau.,.......",1
871,Cepat Sampainya,cepat sampainya,1
872,Mantap.. Klu Ada Bintang 6... Nnti Di Kasi.. Thanks,Mantap.. klu ada Bintang 6... nnti di kasi.. Thanks,1
873,Barang Sesuai Pesanan,murah tapi bukan murahan...good,1
874,Bagus Dan Sesuai Pesanan !,Mantap dan sesuai dengan pesanan.Bahan tidak mengecewakan.,1
875,Bagus,"Bagus hanya saja ttombol on off nya tidak bisa digunakan, jadi harus copot baterai",1
876,Terimakasih,Alhamdulillah.. barang dah saya terima...,1
877,Baik,"Alhamdulillah barang sesuai pesanan, dan puas",1
878,Mantap,Barang sesuai pesanan....mantap.....,1
879,Sesuai Pesanan,"Pesanan sesuai dengan gambar, respon nya juga cepet, pengiriman juga gak lelet pokoya recomended banget deh",1
880,Sesuai Dengan Deskripsi,sesuai dengan deskripsi,1
881,Rusak,Batre nggak bisa di charging setelah sampai. Gimana ya seller ??,0
882,Good,Mantap walaupun belum melihat,1
883,Bibit Bidara Arab,Belum dibuka dari pembungkusnya. Mudah-mudahan masih bagus dan bisa di tanam,1
884,Bagus,Cepat sampai dan sesuai dan rapih dalam packing barangnya,1
885,Pas,"Sudah di coba semua, nyaman,jahitannya bagus, sesuai pesanan, semoga awet",1
886,Barang Bagus,"Barang sampi dengan aman, paking bagus, barang sesuai",1
887,Pengiriman Cepat,Sesuai deskripsi ......... ........ ........ ........ ........ ...... .........,1
888,Barang Yg Sy Terima Semua Unit Tidak Bisa Terpake,Rata rata kerusakannya bila di isi lagi atau video dari lepto ke memori setelah di isi ke hp lagu dan video tidak dapat di putar,0
889,Bagus,Lumayan sesuain dngn harganya...........,1
890,Barang Dah Sampai...,barang dah sampai...,1
891,Dikit Karna Saya Pesan Warna Hitam Merah,dikit karna saya pesan warna hitam merah,1
892,"Not Recomend Seller

Pesan Jne Yes",NOT RECOMEND SELLER,0
893,Sip,Barang bgs sesuai pesanan.sip gan,1
894,Sip,sip,1
895,Baik,bagus barangnya dan daya kecil sesuai karakter,1
896,Mantap,Manatap bajunya bos. Terimaksih atas kiriman nya. Entar entar di pesan lagi ya bos.,1
897,Siiiiiiiiip,siiiiiiiiip,1
898,Sesuai Pesanan,"Barang cepat sampai,respon cepat",1
899,Mantap,Barang bagus seuai pesanan anak saya sukaaaa bnget,1
900,Fail,"udah di chat yg merah ready ato engga,katanya ready, setelah diorder ternyata yg dateng warna merah, selain itu produknya melar, ga kenceng rapat sama kameranya",1
901,Hammock,Hammock bagus buat acara outdoor dibeberapa tempat di Indonesia,1
902,Barang Tidak Sesuai Pesanan,Brg sdah mendarat,0
903,"Ok

Namun Akan Lebih Baik Apabila Saya Coba Dulu",ok,1
904,Barang Oke Gan,"barang oke gan, saya kira satunya satu set .. ",1
905,"Ukuran Sendal Kecil, Spertinya Salah Ksh No,","Ukuran sendal ga sesuai no, saya biasa beli sendal no 38 pas, ini saya beli no 38 tp kecil. Bkn ukuran 38 tp ukuran sendal 37",0
906,Lumayan Lah..,Bahan baju nya jatoh bgt jd berat.. jilbab nya tipis..,1
907,Bagus Bagus,Bagus bagus  ,1
908,"Barang Sampai Tinggal Batang Doang, Daun Habis Rontok Semua.","barang sampai tinggal batang doang, daun habis rontok semua.",0
909,Pelayanan Tidak Puas,Barang tidak sampai sesuai tanggal,0
910,Recommended,recommended,1
911,Bagus,kualitas bagus harga murah,1
912,Baik,Cepat dan kondisi oke semoga awet,1
913,Bagus,"Buku baik,cepat antar,tapi ukurannya lebih kecil dari yang saya duga",1
914,Ga Sesuai,"Saya pesen tas dapetnya tas CACAT, hampir sobek buat naruh tab ga cukup, buat naruh minum bakal SOBEK. Di gambar tingginya sampe 35cm, begitu diterima tinggi ga smpe 30cm, bahkan cuma bisa buat naro barang yg ukurannya 20cm. Ga bisa dibalikin, dipasar juga lebih murah.",0
915,Training,Barang oke bnget... bahan mantap...,1
916,Bagus,barang sesuai pesanan...nyaman d pakai,1
917,Mantap,Bahannya Bagus sesuai pesananpesanan rapuh,1
918,Barang Baik Sesuai Pesanan,barang baik sesuai pesanan,1
919,Oke,Barang sudah diterima. Packing baik,1
920,Mantap,mantap,1
921,Celana,Barang oke ga sia sia beli dilapak ini,1
922,Bajunya Gk Norak,bajunya gk norak ,1
923,Sepatu Sneakers,Tidak real picture... Mulut lobang sepatunya lebih lebar tidak seperti di gambar lebih tinggi mulut sepatunya,1
924,Rec Seller,"Cepat respon, barang lumayan dengan harga segini",1
925,Okle Siplah,okle siplah,1
926,Nyaman Di Pakai,nyaman di pakai,1
927,Barang Bagus,Barang bagus,1
928,Bungkusnya Tak Sesuai,Bungkusan ada tidak sesuai deskripsi. Ada yang 200 lbr dijadikan 2 bungkus,0
929,Belum Sampai/Tertukar,Barang belum sampai saat ini juga namun belum ada konfirmasi dari pihak penjual..,0
930,Bagus Barangnya,bagus barangnya,1
931,Mantap Tapi Kalo Bisa,mantap tapi kalo bisa.sebelum pengiriman close cek lagi barang yang akan di kirim,1
932,Anycast Wireless Wifi,Suka sekali lebih praktis dan ringkas lihat layar hp tanpa kabel,1
933,Saya Puas!,Belum dicoba.semoga berfungsi normal,1
934,Bagus Brgnya,"Oke sekali brgnya,,sesuai pesenan",1
935,"Barang Sesuai Pesanan, Makasih Y,","barang sesuai pesanan, makasih y,",1
936,"Sudah Di Terima,  Cepat Dah Ok","Sudah di terima,  cepat dah OK",1
937,Bluetoth Wireless,"Camera terbatas, harus download aplikasi , tidak bisa selfi, tidak bisa zoom . Kecuali kamera depan . Tapi barang berfungsi baik",1
938,Oke,oke,1
939,Kecewa,"Sangat kecewa di order hari jum&apos;at dikirim hari senin,respon chat pelapakpun sangat lama",0
940,Bahan Standard,"sizenya sih pas cuma bahannya tipis, kurang nyaman. harus pakai kaos dalem berbahan catton biar lebih nyaman.",1
941,Kualitas Barang,kualitas barang ok sesuai harapan,1
942,Jos,Mantap baik ghjjjbffgyuhhhgyuujhhgy jjuuijjhgg,1
943,Its Not Bad,Its not bad,1
944,Celana Jogger Panjang   Sweatpants   Training Puma Grade Ori,Respon chat cepat dan pelayanan baik. Recomended seller,0
945,"Bagus

Namun Akan Lebih Baik Apabila Sesuai",bagus,1
946,Bagus Sih... Cpet Sampai Juga,Tpi bahannya tipis... sesuailah sama harganya...,1
947,Thanks,makasih dapet gratisan temen ngopi,1
948,Lumayan Buat Dirumah,Ko beda sama digambar ya tp ngak apa buat sehari hari,1
949,"Untuk Pengiriman Si Cepat,Tp Barang Tdk Sesuai Pesanan","No 1 +2 barang kiriman,no 2 contoh order",0
950,Batre Tiba Tiba Ngedrop Dari Full,batre tiba tiba ngedrop dari full,0
951,Bgusan Difto,Bhan tipis banget kyak bukan kulit ,0
952,Baik,Barangnya baik sekali cepat di antar,1
953,Ok,"Lumayan ntuk pemula,mudah""an awet dipakainya",1
954,Jelek,model benar skinny,0
955,Cabut Bulu Mantab,Cabut bulu mantab. Bulu kaki dll deh,1
956,Goooooood,Sengaja kasih testi lebih dr seminggu ketika brg dtg,1
957,Ajipppppp,"murah, bagus, tidak mengecewakan",1
958,Pengiriman Lama Barang Tidak Sesuai Pesanan Mending Jangan B,pengiriman lama barang tidak sesuai pesanan mending jangan beli disini deh parah ini lapak,0
959,Respon Cepat,Respon cepat ,1
960,Remote Tv Polytron,Agak lama sampai... Mungkin karena bertepatan dengan hari libur lebaran... Tapi gak masalah,1
961,Bagus,bagus,1
962,Next Order Lagi..,next order lagi..,1
963,Cepat,"belum smpai ke tangan kostumer. masih di kantor pos.. jika baik, bintang tetap brtahan komentar jg berubah..thnks bos",1
964,Okeeee Bingits,okeeee bingits,1
965,"Recomended, Gpp Gak Ad Kotak Yg Penting Berfungsi Baik. Thx","Recomended, gpp gak ad kotak yg penting berfungsi baik. Thx",1
966,Tas Selempang,"Barang bagus sesuai deskripsi, sip",1
967,Bagus,bagus bagus bagus bagus bagus bagus,1
968,Cukup Bagus,cukup bagus,1
969,Modelnya Sesuai Dg Yg Diinginkan,"modelnya sesuai dg yg diinginkan. Namun, akan lebih baik apabila hrgnya lbh murah lagi, hehehehehe tp semuanya uh bagus, barang bagus sesuai harapam, nyampenya jg cepet ",1
970,Barang Bagus,barang bagus...,1
971,Rekomen Deh Poko Nya Mancappp,Recomended poko nya ajib,1
972,Tidak Sesuai Skrip,"Barang betul tapi tidak sesuai deskrip,,, di deskrip 3400mah tapi yg datang 3000mah..",1
973,"Baguss , Sesuai , Dan Paking Rapihh","Kokonya sukaaa, bagus , paking rapih",1
974,Ijo Kristalnya Mantap Tapi Terlalu Tipis,ijo kristalnya mantap tapi terlalu tipis,1
975,Maaf Mau Tanya,"maaf mau tanya. ko bantal terapinya udh saya colokin ko kgk panas"" y. padahal udh 30menit saya colokin ke stopkontak. mohon bantuannya..",1
